Mesh,Class,Area,Volume,Compactness,Diameter,Sphericity,Eccentricity,Rectangularity,Convex Hull area,Convex Hull volume,Convex Hull V/S ratio,Hull Facets num,Convex Hull compactness,a3_bin1,a3_bin2,a3_bin3,a3_bin4,a3_bin5,a3_bin6,a3_bin7,a3_bin8,a3_bin9,a3_bin10,d1_bin1,d1_bin2,d1_bin3,d1_bin4,d1_bin5,d1_bin6,d1_bin7,d1_bin8,d1_bin9,d1_bin10,d2_bin1,d2_bin2,d2_bin3,d2_bin4,d2_bin5,d2_bin6,d2_bin7,d2_bin8,d2_bin9,d2_bin10,d3_bin1,d3_bin2,d3_bin3,d3_bin4,d3_bin5,d3_bin6,d3_bin7,d3_bin8,d3_bin9,d3_bin10,d4_bin1,d4_bin2,d4_bin3,d4_bin4,d4_bin5,d4_bin6,d4_bin7,d4_bin8,d4_bin9,d4_bin10
71.off,Airplane,-0.7621352503374892,-0.5615755585179555,-0.11708389609218507,-0.8017004620147586,-0.5895424544487761,0.39725938740431854,-0.7951873975890227,-0.6631375339016332,-0.8309587185081477,-1.0911325760862651,-0.5297570648379367,1.0155979429952056,0.19976333333333327,0.17637666666666665,0.15787666666666667,0.12716666666666668,0.09452666666666666,0.07180333333333333,0.05867333333333333,0.0513,0.04375,0.01876333333333333,0.08681,0.18162999999999999,0.26072666666666666,0.3435633333333333,0.12262333333333332,0.004646666666666667,0.0,0.0,0.0,0.0,0.12671333333333334,0.20684333333333327,0.23135999999999998,0.26674000000000003,0.12694,0.035,0.006276666666666666,0.00012666666666666664,0.0,0.0,0.10797999999999999,0.3622733333333333,0.29341,0.14477666666666664,0.07876,0.0128,0.0,0.0,0.0,0.0,0.2986933333333333,0.6122966666666667,0.085,0.0040100000000000005,0.0,0.0,0.0,0.0,0.0,0.0
72.off,Airplane,-0.8312617183459983,-0.5890468981845547,0.01303301973256888,-0.8005446251003349,-0.6775175736350141,0.9199292200518154,-0.82555003312675,-0.7772136840122913,-0.904550118553108,-1.2326855383189723,-0.5591493388397495,1.3474604728175772,0.20105666666666666,0.17854666666666666,0.15762333333333334,0.12453333333333333,0.09263666666666667,0.07270333333333333,0.05824333333333333,0.048589999999999994,0.04480333333333333,0.02126333333333333,0.11167,0.18842333333333333,0.29019333333333336,0.2871433333333333,0.11965666666666665,0.002913333333333333,0.0,0.0,0.0,0.0,0.13279333333333335,0.21543666666666667,0.26748666666666665,0.24398000000000003,0.10977333333333332,0.02262333333333333,0.007809999999999999,9.666666666666668e-05,0.0,0.0,0.12409333333333332,0.38277,0.2758433333333333,0.14365666666666665,0.06833,0.005306666666666667,0.0,0.0,0.0,0.0,0.3629733333333333,0.58607,0.049523333333333336,0.0014333333333333331,0.0,0.0,0.0,0.0,0.0,0.0
73.off,Airplane,-0.8397994583813433,-0.5876299566335823,-0.05232725317537499,-0.7926340945632712,-0.6370789879187347,0.7613690812912469,-0.8751195490532687,-0.7483736636418789,-0.8841811296437347,-1.1890688509223313,-0.8236798048560648,1.2259668618370807,0.20424,0.17952333333333334,0.15585666666666667,0.12386666666666668,0.0902,0.06989666666666666,0.05799,0.05197666666666666,0.04475333333333333,0.021696666666666663,0.10920333333333332,0.23512,0.2352833333333333,0.2811266666666667,0.12568333333333334,0.013583333333333331,0.0,0.0,0.0,0.0,0.13904333333333332,0.21340666666666666,0.2806533333333333,0.2279933333333333,0.10385666666666668,0.028999999999999998,0.005963333333333334,8.333333333333333e-05,0.0,0.0,0.12859666666666664,0.39511,0.2668833333333333,0.14443666666666666,0.05518666666666667,0.00954,0.0002466666666666667,0.0,0.0,0.0,0.39093666666666665,0.5495899999999999,0.057983333333333324,0.00149,0.0,0.0,0.0,0.0,0.0,0.0
74.off,Airplane,-0.8399924548919763,-0.5766384904758154,-0.21202453203423127,-0.8015452573257054,-0.5013848916900016,0.7012810894557169,-0.7723998809024448,-0.9942845955985252,-0.9604661767063404,-1.2341501743767642,-0.7061107088488136,0.9650403459178176,0.19336666666666666,0.18391666666666667,0.15832666666666667,0.12497666666666668,0.09375666666666667,0.07144,0.05905,0.05354333333333333,0.04088333333333333,0.02074,0.07387333333333332,0.2648933333333333,0.3573633333333333,0.18486666666666668,0.10340333333333332,0.0156,0.0,0.0,0.0,0.0,0.13978,0.22935,0.2907666666666667,0.22075666666666666,0.09391333333333332,0.017480000000000002,0.00785,0.00010333333333333333,0.0,0.0,0.13310333333333332,0.39859,0.27576666666666666,0.14540999999999998,0.04245,0.004653333333333333,2.666666666666667e-05,0.0,0.0,0.0,0.3850633333333333,0.56835,0.04626,0.0003266666666666667,0.0,0.0,0.0,0.0,0.0,0.0
75.off,Airplane,-0.4544196000091583,-0.4874333102736647,0.09859366660825383,-0.6489524976080507,-0.7217077054040467,0.6762124367821787,-0.5905804729698494,-0.25126276233734496,-0.7142149137049986,-1.0898610060399458,-0.7648952568524392,1.6149539620183329,0.18572,0.19091333333333327,0.16215666666666667,0.12355333333333332,0.09462999999999999,0.07242,0.05835,0.05057333333333333,0.043256666666666665,0.018426666666666668,0.08173333333333334,0.13591333333333333,0.25062666666666666,0.28888,0.20976333333333333,0.03308333333333333,0.0,0.0,0.0,0.0,0.08910333333333334,0.19590666666666667,0.2486,0.2271933333333333,0.14993,0.06755,0.02155666666666666,0.00016,0.0,0.0,0.07147333333333332,0.30645,0.3119766666666667,0.18916333333333327,0.09287666666666666,0.024946666666666662,0.0030866666666666672,2.666666666666667e-05,0.0,0.0,0.22376666666666667,0.6257066666666666,0.14765333333333333,0.0028733333333333328,0.0,0.0,0.0,0.0,0.0,0.0
76.off,Airplane,-0.7232238277152752,-0.5265050766005595,-0.31856657913985464,-0.6812091122871973,-0.3622892007550665,0.772824958316831,-0.7549173952668516,-0.6324679370707319,-0.7825587944911879,-0.9666894567643758,-0.500364790836124,0.6930953937692235,0.21281666666666665,0.16785,0.15024333333333334,0.12506,0.09508333333333334,0.07736,0.06018,0.05046666666666667,0.043493333333333335,0.017446666666666666,0.06673,0.107,0.29383000000000004,0.24911666666666665,0.24750999999999998,0.035813333333333336,0.0,0.0,0.0,0.0,0.12940666666666667,0.17399333333333333,0.1792,0.30086999999999997,0.13245,0.04225333333333333,0.041389999999999996,0.0004366666666666667,0.0,0.0,0.10124666666666668,0.3107333333333333,0.3050733333333333,0.17860333333333334,0.09226666666666666,0.01197,0.00010666666666666668,0.0,0.0,0.0,0.26273,0.61815,0.11422666666666667,0.004893333333333335,0.0,0.0,0.0,0.0,0.0,0.0
77.off,Airplane,-0.6705806734435514,-0.5359112734588435,-0.0945555579948064,-0.6068226128324546,-0.6070496164778645,0.7451900669915957,-0.8445725102125481,-0.37299119832642136,-0.7066322097164572,-0.9757143258103128,-0.5297570648379367,1.045820387510198,0.2021,0.17879666666666666,0.15663333333333335,0.12334,0.09242,0.07174,0.05806,0.05192000000000001,0.04571,0.019280000000000002,0.07377333333333333,0.15281,0.25586,0.21436,0.2574,0.04579666666666666,0.0,0.0,0.0,0.0,0.11135,0.18097,0.22164666666666666,0.2611266666666667,0.13415666666666667,0.06040333333333334,0.029930000000000002,0.0004166666666666667,0.0,0.0,0.09006,0.32009,0.2956433333333333,0.17151333333333332,0.09493,0.024186666666666662,0.00352,5.6666666666666664e-05,0.0,0.0,0.24803000000000003,0.6118166666666667,0.13157,0.008556666666666667,2.666666666666667e-05,0.0,0.0,0.0,0.0,0.0
78.off,Airplane,-0.5868879086273682,-0.5306413746825452,0.13422433291956265,-0.5181737183045267,-0.7377602016177075,0.9180292463937938,-0.8868838981695497,-0.04132599741032369,-0.5611661965490481,-0.8715414192927362,-0.6179338868433751,1.1257835772526523,0.20862666666666665,0.18403666666666665,0.14535,0.11828666666666665,0.09265333333333334,0.07206666666666668,0.060116666666666665,0.053,0.04582333333333333,0.020040000000000002,0.08758333333333332,0.11436666666666667,0.2272933333333333,0.24238,0.28724666666666665,0.04113,0.0,0.0,0.0,0.0,0.10261333333333332,0.19148666666666667,0.20136333333333334,0.21271333333333334,0.17106,0.09250666666666668,0.027966666666666667,0.00029,0.0,0.0,0.08227999999999999,0.3059233333333333,0.28578000000000003,0.19309666666666667,0.09303666666666667,0.03589,0.003986666666666667,6.6666666666666675e-06,0.0,0.0,0.24216,0.59856,0.13789333333333334,0.020946666666666662,0.00044,0.0,0.0,0.0,0.0,0.0
79.off,Airplane,-0.6827314144576054,-0.5601345361561519,0.1817243987713869,-0.18543132885548685,-0.7573750107405043,0.2509399377044758,-0.9325900268315828,-0.289926581554554,-0.6090011703708247,-0.7867376197502206,-0.3534034208270599,0.6376510871401181,0.18641,0.18550333333333333,0.16179000000000002,0.12915666666666667,0.09572666666666667,0.07408,0.05875,0.04833666666666667,0.04133,0.01891666666666666,0.08945,0.13409666666666667,0.29590666666666665,0.27061,0.1691,0.04083666666666667,0.0,0.0,0.0,0.0,0.10492333333333333,0.19885,0.24419000000000002,0.24117,0.14952333333333334,0.05058333333333333,0.009453333333333331,0.0013066666666666667,0.0,0.0,0.08959,0.3276266666666667,0.29111,0.18258666666666667,0.08656666666666668,0.022126666666666663,0.0003933333333333333,0.0,0.0,0.0,0.2727366666666667,0.6103633333333334,0.10071333333333334,0.015786666666666668,0.0004,0.0,0.0,0.0,0.0,0.0
80.off,Airplane,-0.6203902107214598,-0.5440170937679609,0.190545043724398,-0.5094398610684204,-0.7608133853167118,0.3460760822708869,-0.8801148905975689,-0.2939286254099401,-0.6242121219528413,-0.8229699676272128,-0.7061107088488136,0.719363535264218,0.18142,0.18852666666666668,0.16329666666666667,0.13038333333333332,0.09630666666666668,0.07321,0.059160000000000004,0.04818666666666667,0.04083333333333333,0.018676666666666668,0.07981666666666666,0.16462666666666667,0.3028166666666667,0.24279666666666666,0.17635333333333333,0.033589999999999995,0.0,0.0,0.0,0.0,0.10344666666666667,0.20324,0.2571933333333333,0.2410433333333333,0.13758333333333336,0.04608333333333333,0.010740000000000001,0.00067,0.0,0.0,0.08636,0.33157,0.2961433333333333,0.18387333333333333,0.08442666666666666,0.017203333333333334,0.0004233333333333333,0.0,0.0,0.0,0.26416999999999996,0.6166266666666667,0.10719666666666666,0.011923333333333331,8.333333333333333e-05,0.0,0.0,0.0,0.0,0.0
100.off,Ant,-0.4665961897007316,-0.4811118864397106,0.005874382321314353,-0.7029766312633401,-0.6734025994029007,-0.49227284563484,-0.7532936934063658,-0.21014785215582307,-0.20053921648455766,0.17167025412610276,-0.8824643528596904,-0.5235369252395667,0.13856,0.20853000000000002,0.17969333333333334,0.13402666666666666,0.10517666666666667,0.08552333333333334,0.06573999999999999,0.0464,0.027506666666666662,0.008843333333333333,0.03891333333333333,0.22363000000000002,0.3257466666666667,0.2596466666666667,0.09963333333333334,0.05243,0.0,0.0,0.0,0.0,0.07683999999999999,0.2419733333333333,0.3051966666666667,0.19477,0.11342666666666665,0.05362666666666667,0.01411,5.6666666666666664e-05,0.0,0.0,0.056896666666666665,0.2851733333333333,0.38631,0.20929333333333333,0.05377666666666667,0.00834,0.00021,0.0,0.0,0.0,0.13036,0.4997833333333334,0.3265833333333333,0.04293333333333333,0.00033999999999999997,0.0,0.0,0.0,0.0,0.0
81.off,Ant,-0.6589304285617593,-0.5176239971438843,-0.22147037809615525,-0.6815707835982192,-0.4910708768324401,-0.3551634539460229,-0.7973946113940917,-0.5346129881767995,-0.4311759939632609,-0.014346989656963675,-0.7355029828506264,-0.5475336741477221,0.16036666666666666,0.21141333333333331,0.16741,0.12101333333333332,0.09635666666666666,0.07758,0.0657,0.052443333333333335,0.03487666666666667,0.01284,0.05015,0.29418,0.3103833333333333,0.19597333333333333,0.11614000000000001,0.03317333333333333,0.0,0.0,0.0,0.0,0.09872,0.2799066666666667,0.3054833333333333,0.18267666666666665,0.08630333333333333,0.03635,0.010406666666666665,0.00015333333333333334,0.0,0.0,0.08406,0.3525133333333333,0.3831366666666667,0.16175666666666666,0.01828333333333333,0.00025,0.0,0.0,0.0,0.0,0.19392666666666666,0.5955633333333333,0.20051333333333327,0.009996666666666666,0.0,0.0,0.0,0.0,0.0,0.0
82.off,Ant,-0.4271306905735199,-0.4273856760901413,-0.2393701302352292,-0.4766277716545045,-0.4705971901672629,-0.4195922828512245,-0.7142275898037435,0.026104631159280762,0.06886096700530688,0.5047186192693716,-0.7942875308542521,-0.6304779079073521,0.14271666666666666,0.20332,0.17858666666666667,0.13866666666666666,0.1056,0.08162666666666668,0.06335,0.04659333333333333,0.02931333333333333,0.010226666666666669,0.04099,0.25498666666666664,0.23414000000000001,0.23993,0.21155666666666667,0.018396666666666662,0.0,0.0,0.0,0.0,0.07346333333333334,0.22248333333333334,0.2847133333333333,0.2352833333333333,0.11419000000000001,0.05122,0.018416666666666668,0.00022999999999999998,0.0,0.0,0.054713333333333336,0.2704933333333333,0.3654833333333333,0.22965,0.07110333333333334,0.008503333333333333,5.333333333333333e-05,0.0,0.0,0.0,0.14928666666666668,0.51061,0.28833000000000003,0.05001,0.0017633333333333331,0.0,0.0,0.0,0.0,0.0
83.off,Ant,-0.6473010877265662,-0.5082395062329289,-0.2586679913377422,-0.6784150112685347,-0.4470480589039994,-0.11943036859517407,-0.7060837275017303,-0.5883348697701484,-0.551578613188628,-0.30273828309721706,-0.6767184348470008,-0.3396127609222807,0.16983666666666666,0.20890666666666666,0.16286333333333333,0.12063,0.09096,0.07552666666666667,0.06563333333333334,0.054560000000000004,0.03764666666666667,0.013436666666666666,0.07184666666666667,0.2494333333333333,0.3188033333333333,0.21878666666666666,0.12026333333333332,0.020866666666666662,0.0,0.0,0.0,0.0,0.09743666666666667,0.27314,0.29245,0.19877666666666666,0.09397,0.03428,0.00979,0.00015666666666666666,0.0,0.0,0.08353,0.3596,0.36730666666666667,0.15580333333333332,0.03266,0.0011,0.0,0.0,0.0,0.0,0.2388233333333333,0.5854666666666667,0.16538666666666665,0.010276666666666668,4.6666666666666665e-05,0.0,0.0,0.0,0.0,0.0
84.off,Ant,-0.5865255826085638,-0.5048136496160068,-0.12923434235521666,-0.24214379284889925,-0.5796225205815985,-0.45183683573988,-0.8689583382010467,-0.06393824730824182,-0.09068387516645364,0.2521604840276139,-0.9412489008633159,-0.5150505739744364,0.15762333333333334,0.2099,0.16834333333333334,0.1247,0.09905666666666668,0.07940666666666668,0.06572666666666667,0.05026666666666667,0.033236666666666664,0.01174,0.08232,0.21811333333333333,0.2429333333333333,0.2706233333333333,0.14240333333333333,0.04360666666666667,0.0,0.0,0.0,0.0,0.08684333333333333,0.2443033333333333,0.28358666666666665,0.20909,0.10174666666666668,0.05209,0.021646666666666668,0.0006933333333333332,0.0,0.0,0.06933333333333333,0.3073133333333333,0.36539333333333335,0.19202333333333327,0.05736,0.008386666666666667,0.00018999999999999998,0.0,0.0,0.0,0.17720999999999998,0.51922,0.25959,0.042980000000000004,0.001,0.0,0.0,0.0,0.0,0.0
85.off,Ant,-0.42285718871986816,-0.4389755731450344,-0.17291976503617204,0.06624206616830973,-0.5408542686155001,0.2177732261558068,-0.5909335784626719,-0.3528578278802324,-0.4474725625451953,-0.2944167262527685,-0.7648952568524392,-0.1991128533437768,0.16501666666666667,0.21008000000000002,0.16267,0.12271666666666667,0.09459,0.07708,0.06509,0.05278666666666667,0.035596666666666665,0.014373333333333332,0.06691333333333334,0.23652666666666666,0.2793466666666667,0.2297233333333333,0.14151666666666668,0.04597333333333333,0.0,0.0,0.0,0.0,0.08285,0.2619833333333333,0.2815833333333333,0.20724666666666666,0.10409000000000002,0.04407,0.017243333333333333,0.0009333333333333332,0.0,0.0,0.06831,0.3360633333333333,0.3648833333333333,0.17515,0.04813,0.007113333333333334,0.00035,0.0,0.0,0.0,0.22388333333333327,0.5882,0.17967,0.008213333333333333,3.333333333333333e-05,0.0,0.0,0.0,0.0,0.0
86.off,Ant,-0.575852983972486,-0.4705413972518141,-0.31835567859352004,-0.6439244076548502,-0.36262351182975255,-0.3507017444827334,-0.4981164427071508,-0.6384728609164927,-0.5464666119472994,-0.21909382927666385,-0.500364790836124,-0.44622337732906575,0.16796333333333333,0.21110333333333334,0.16083666666666666,0.11775666666666665,0.09619666666666668,0.07916000000000001,0.06531666666666666,0.051526666666666665,0.03642,0.01372,0.10605666666666666,0.26182,0.28579,0.17156,0.15345,0.02132333333333333,0.0,0.0,0.0,0.0,0.09916333333333334,0.29205,0.29313666666666666,0.17475,0.09235333333333333,0.03721666666666667,0.011136666666666666,0.00019333333333333333,0.0,0.0,0.08126333333333334,0.37596666666666667,0.37788666666666665,0.14093666666666665,0.02323,0.0007166666666666668,0.0,0.0,0.0,0.0,0.2303233333333333,0.57158,0.18514,0.01295,6.6666666666666675e-06,0.0,0.0,0.0,0.0,0.0
87.off,Ant,-0.5184286837904565,-0.4466498789243346,-0.32059196022235154,-0.2689665473212789,-0.3590641212065104,-0.29291704210080416,-0.8477723239594102,0.09579539042218388,0.08440838288148846,0.4501545112391455,-0.9118566268615032,-0.5755306603845493,0.15331333333333333,0.20517666666666667,0.17485666666666666,0.13143333333333335,0.09869333333333333,0.07818666666666667,0.06293,0.05026,0.033286666666666666,0.011863333333333332,0.07540666666666666,0.23278000000000001,0.2517033333333333,0.2350333333333333,0.17051,0.03456666666666667,0.0,0.0,0.0,0.0,0.08201666666666667,0.23194666666666666,0.2842233333333333,0.23081,0.11102333333333332,0.04067666666666666,0.018726666666666662,0.0005766666666666666,0.0,0.0,0.06501333333333334,0.2977533333333333,0.3598666666666667,0.20699,0.06373333333333334,0.00658,6.333333333333332e-05,0.0,0.0,0.0,0.19762666666666667,0.5319733333333333,0.2300833333333333,0.039123333333333336,0.0011933333333333336,0.0,0.0,0.0,0.0,0.0
